"sample","time","biol.rep","Protein","Oxidized_Peptides","Non_Oxidized_Peptides"
"MURI_16",3,"repeat 1","gi|254161188",0,9
"MURI_16",3,"repeat 1","gi|254161189",0,15
"MURI_16",3,"repeat 1","gi|254161190",0,30
"MURI_16",3,"repeat 1","gi|254161192",0,0
"MURI_16",3,"repeat 1","gi|254161193",0,2
"MURI_16",3,"repeat 1","gi|254161194",0,15
"MURI_16",3,"repeat 1","gi|254161195",0,12
"MURI_16",3,"repeat 1","gi|254161197",4,5
"MURI_16",3,"repeat 1","gi|254161198",0,28
"MURI_16",3,"repeat 1","gi|254161199",3,20
"MURI_16",3,"repeat 1","gi|254161200",0,6
"MURI_16",3,"repeat 1","gi|254161201",1,177
"MURI_16",3,"repeat 1","gi|254161203",0,2
"MURI_16",3,"repeat 1","gi|254161204",0,4
"MURI_16",3,"repeat 1","gi|254161205",0,3
"MURI_16",3,"repeat 1","gi|254161206",0,6
"MURI_16",3,"repeat 1","gi|254161207",0,16
"MURI_16",3,"repeat 1","gi|254161208",0,18
"MURI_16",3,"repeat 1","gi|254161209",0,7
"MURI_16",3,"repeat 1","gi|254161211",0,2
"MURI_16",3,"repeat 1","gi|254161213",0,3
"MURI_16",3,"repeat 1","gi|254161214",0,6
"MURI_16",3,"repeat 1","gi|254161215",0,7
"MURI_16",3,"repeat 1","gi|254161216",0,2
"MURI_16",3,"repeat 1","gi|254161219",0,0
"MURI_16",3,"repeat 1","gi|254161220",0,3
"MURI_16",3,"repeat 1","gi|254161222",0,1
"MURI_16",3,"repeat 1","gi|254161223",0,7
"MURI_16",3,"repeat 1","gi|254161224",0,4
"MURI_16",3,"repeat 1","gi|254161230",3,8
"MURI_16",3,"repeat 1","gi|254161233",0,7
"MURI_16",3,"repeat 1","gi|254161234",0,1
